smiles,source_columns
*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,T5.csv:smiles1;Tg.csv:smiles1
*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,T5.csv:smiles1;Tg.csv:smiles1
*Nc1cccc(c1)NC(=O)c1cc(cc(c1)C(=O)*)NC(=O)C(N1C(=O)c2c(C1=O)c(Br)c(c(c2Br)Br)Br)Cc1ccccc1,T5.csv:smiles1;Tg.csv:smiles1
*Nc1cccc2c1cccc2NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,T5.csv:smiles1;Tg.csv:smiles1
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OP(=O)(Nc1ccccc1)*,Tg.csv:smiles1
C1(N2CCN(C3=NC(N4CCNCC4)=NC(N5CCNCC5)=N3)CC2)=NC(N6CCN(C7=NC(N8CCNCC8)=NC(N9CCNCC9)=N7)CC6)=NC(N%10CCN(C%11=NC(N%12CCNCC%12)=NC(N%13CCNCC%13)=N%11)CC%10)=N1,LOI.csv:mix_smiles2;T5.csv:mix_smiles2;UL-94.csv:mix_smiles2
C1(N2CCNCC2)=NC(N3CCNCC3)=NC(N4CCNCC4)=N1,LOI.csv:mix_smiles2;UL-94.csv:mix_smiles2
C1(NCCN2CCN(C3=NC(NCCN4CCNCC4)=NC(NCCN5CCNCC5)=N3)CC2)=NC(NCCN6CCN(C7=NC(NCCN8CCNCC8)=NC(NCCN9CCNCC9)=N7)CC6)=NC(NCCN%10CCN(C%11=NC(NCCN%12CCNCC%12)=NC(NCCN%13CCNCC%13)=N%11)CC%10)=N1,LOI.csv:mix_smiles2;T5.csv:mix_smiles2;UL-94.csv:mix_smiles2
C=C(C)C(=O)OCC(CN1CCN(CC1)CC(COC(=O)C(=C)C)O)O,LOI.csv:smiles1;T5.csv:smiles1;Tg.csv:smiles1
C=C(C)C(=O)OCC(COc1ccc(cc1)CN=c1[nH]c(=NCc2ccc(cc2)OCC(COC(=O)C(=C)C)O)[nH]c(=NCc2ccc(cc2)OCC(COC(=O)C(=C)C)O)[nH]1)O,LOI.csv:smiles1
C=C(CC(C(=C)C(=O)OCC1COC2(CCCO2)O1)C(=O)OCC1COC2(CCCO2)O1)C(=O)OCC1COC2(CCCO2)O1,LOI.csv:smiles1;T5.csv:smiles1;Tg.csv:smiles1
C=CCc1cc(OC)c(c(c1[Rb])CN(Cc1ccco1)[Fr])O,T5.csv:smiles1;Tg.csv:smiles1
CC(=O)OC1=CC=C(C(C)(C)C2=CCC(OC(C)=O)C=C2)C=C1,LOI.csv:smiles1;UL-94.csv:smiles1
CC(C(=O)OC)(C[Fr])[Rb],LOI.csv:smiles1;T5.csv:smiles1;Tg.csv:smiles1;UL-94.csv:smiles1
CC(C(=O)O[Fr])[Rb],LOI.csv:smiles1;T5.csv:smiles1;UL-94.csv:smiles1
CC(C(O)=O)([Fr])C[Rb],LOI.csv:smiles2
CC(C(OC(C)(C)C)=O)([Fr])C[Rb],LOI.csv:smiles2
CC(C(OC)=O)([Fr])C[Rb],LOI.csv:smiles1;LOI.csv:smiles2;Tg.csv:smiles1;UL-94.csv:smiles1
CC(C(OCC)=O)([Fr])C[Rb],LOI.csv:smiles2
CC(C(OCCN(CP(OC)(OC)=O)CP(OC)(OC)=O)=O)([Fr])C[Rb],LOI.csv:smiles2;Tg.csv:smiles2
CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],LOI.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
CC(C(OCCOP(OC1=CC=CC=C1)(N2CCN(CC2)C3=CC=CC=C3)=O)=O)([Fr])C[Rb],LOI.csv:smiles2;Tg.csv:smiles2
CC(C(OCCOP(OCC)(OCC)=O)=O)([Fr])C[Rb],LOI.csv:smiles2
CC(C(OCP(OCC)(OCC)=O)=O)([Fr])C[Rb],LOI.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
CC(C)(C1=CC=C(C=C1)OCCO[Rb])C2=CC=C(C=C2)OCCOC(C(C=C3)=CC=C3C([Fr])=O)=O,LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
CC(C)(C1=CC=C(OC(O[Fr])=O)C=C1)C(C=C2)=CC=C2OC(OC3=CC=C(C4(C5=CC=C([Rb])C=C5)C6=CC=CC=C6C(O4)=O)C=C3)=O,LOI.csv:smiles1
CC(C)(OC1=C2)OC1=CC=C2C([Fr])C[Rb],LOI.csv:smiles2
CC(C)(c1ccc(cc1)O)c1ccc(cc1)O.C(C1CO1)Cl.C=CC(=O)O,LOI.csv:smiles1
CC(C1=CC=C(C=C1)OC(C2=CC=C(C=C2)C([Fr])=O)=O)(C3=CC=C(C=C3)O[Rb])C,LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
CC(C1=CC=C(OC([Fr])=O)C=C1)(C)C2=CC=C(O[Rb])C=C2,LOI.csv:smiles1;T5.csv:smiles1;UL-94.csv:smiles1
CC(C1=CC=C(OC([Fr])=O)C=C1)(C2=CC=C(O[Rb])C=C2)C,LOI.csv:smiles1;T5.csv:smiles1;Tg.csv:smiles1;UL-94.csv:smiles1
CC(CC1)CCC1(C2=CC=C(C=C2)CO)C(C=C3)=CC=C3CO,LOI.csv:smiles1;Tg.csv:smiles1
CC(CO[Rb])(COC(C1=CC=C(C=C1)C([Fr])=O)=O)C,LOI.csv:smiles2;Tg.csv:smiles2;UL-94.csv:mix_smiles1
CC(CO[Rb])(COC(CCP([Fr])(C1=CC=CC=C1)=O)=O)C,LOI.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
CC(C[Fr])[Rb],LOI.csv:smiles1;T5.csv:smiles1
CC([Fr])C[Rb],LOI.csv:smiles1;T5.csv:smiles1;UL-94.csv:smiles1
CC1(C)COP(=O)(Nc2cccc(c2)NP2(=O)OCC(C)(C)CO2)OC1,T5.csv:smiles1
CCC([C@H](n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)[C@@H](C(CC)C)C(=O)[Rb])C(=O)Nc1cc(N[Fr])cc(c1)C(=O)NCCc1ccc(c(c1)O)O)C,T5.csv:smiles1
CCC1(N(C(N(C(c2cc(C(N(c3cc(P(c4cc(N5C(c6ccc(C([Rb])=O)cc6C5=O)=O)ccc4)(c7ccccc7)=O)ccc3)C8=O)=O)c8cc2)=O)C1=O)=O)[Fr])C,LOI.csv:smiles1;T5.csv:smiles1
CCC1(N(C(N(C(c2cc(C(N(c3cc(P(c4cc(N5C(c6ccc(C([Rb])=O)cc6C5=O)=O)ccc4)(c7ccccc7)=O)ccc3)C8=O)=O)c8cc2)=O)C1=O)=O)[Fr])CC,LOI.csv:smiles1;T5.csv:smiles1
