DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,mix_content3,mix_smiles3,mix_wt3,mix_mol3,mix_content4,mix_smiles4,mix_wt4,mix_mol4,LOI
10.1016/j.polymdegradstab.2006.02.010,homopolymer,,,,[Rb]CO[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,15.3
10.1002/pi.1946,copolymer,,PAN-co-PS3,N#CC(CC(C1=CC=CC=C1)C[Rb])[Fr],N#CC([Fr])C[Rb],[Rb]CC([Fr])C1=CC=CC=C1,PAN,,93.8,,St,,6.2,,,,,,,,,,,,,,,,,16.5
10.1002/pi.1946,copolymer,,PAN-co-PS4,N#CC(CC(C1=CC=CC=C1)C[Rb])[Fr],N#CC([Fr])C[Rb],[Rb]CC([Fr])C1=CC=CC=C1,PAN,,96.3,,St,,3.7,,,,,,,,,,,,,,,,,16.7
10.1002/pat.3631,copolymer,,PMMA,COC(C([Fr])(CC(C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)=O)C[Rb])C)=O,CC(C(OC)=O)([Fr])C[Rb],O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],PMMA,100,,,,0,,,,,,,,,,,,,,,,,,16.9
10.1002/pi.1946,copolymer,,PAN-co-PS1,N#CC(CC(C1=CC=CC=C1)C[Rb])[Fr],N#CC([Fr])C[Rb],[Rb]CC([Fr])C1=CC=CC=C1,PAN,,71.6,,St,,28.4,,,,,,,,,,,,,,,,,17.4
10.1002/pi.1946,copolymer,,PAN-co-PS2,N#CC(CC(C1=CC=CC=C1)C[Rb])[Fr],N#CC([Fr])C[Rb],[Rb]CC([Fr])C1=CC=CC=C1,PAN,,80.5,,St,,19.5,,,,,,,,,,,,,,,,,17.4
10.1016/j.polymdegradstab.2006.02.010,homopolymer,,,,[Rb]CC(c1ccccc1)[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,17.4
10.1002/APP.43047,homopolymer,,,,CC(C[Fr])[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,17.5
10.1002/app.49525,homopolymer,,,,CC(C(=O)OC)(C[Fr])[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,17.65
10.1016/S0141-3910（00）00066-5,homopolymer,,PST,[Rb]CC([Fr])C1=CC=CC=C1,[Rb]CC([Fr])C1=CC=CC=C1,[Rb]CC([Fr])C1=CC=CC=C1,PS,,100,,,,0,,,,,,,,,,,,,,,,,17.9
