DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,T5
10.1016/j.cej.2023.144983,copolymer,PA,PA 6-co-DPA1,,[Fr]C(CCCCCN[Rb])=O,[Fr]C(C1=CC(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=CC(C(NCCCCCCN[Rb])=O)=C1)=O,,,100,,,,1,,,,,,,,,60.4
10.1016/j.cej.2023.144983,copolymer,PA,PA 6-co-DPA2,,[Fr]C(CCCCCN[Rb])=O,[Fr]C(C1=CC(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=CC(C(NCCCCCCN[Rb])=O)=C1)=O,,,100,,,,2,,,,,,,,,71.3
10.1016/j.cej.2023.144983,copolymer,PA,PA 6-co-DPA3,,[Fr]C(CCCCCN[Rb])=O,[Fr]C(C1=CC(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=CC(C(NCCCCCCN[Rb])=O)=C1)=O,,,100,,,,3,,,,,,,,,75.1
10.1177/0954008315580822,homopolymer,,polyphosphonates_10,,[Fr]CN(c1ccccc1C)Cc1c(O)ccc(c1[Rb])/C=N/CC/N=C/c1ccc2c(c1)CN(CO2)c1ccccc1C,,,,100,,,,0,,,,,,,,,128
10.1016/1381-5148(95)00121-2,homopolymer,,acrylated phosphate_BTP,,[Fr]Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)OP(=O)(Oc1ccc(cc1)[N+](=O)[O-])[Rb],,,,100,,,,0,,,,,,,,,155
10.1016/j.polymdegradstab.2011.12.002,homopolymer,,phosphorus-containing diamines-BAPP,,[Rb]OC(=O)c1cc(cc(c1)C(=O)c1ccc(cc1)c1ccc(cc1)[Fr])NS(=O)(=O)CCN1C(=O)c2c(C1=O)c(Cl)c(c(c2Cl)Cl)Cl,,,,100,,,,0,,,,,,,,,167
10.1080/15685551.2013.771316,homopolymer,,PA6c,,[Rb]NC1=CC=C(C=C1)C2=CC(C3=CC=C(C=C3)Br)=CC(C4=CC=C(C=C4)NC(CCCCC([Fr])=O)=O)=N2,,,,100,,,,0,,,,,,,,,176
10.1016/j.polymdegradstab.2011.12.002,homopolymer,,poly(pyridine thiourea-imide)s (PPTIs)-BPDA,,[Rb]OC(=O)c1cc(cc(c1)C(=O)c1ccc(cc1)[Fr])NS(=O)(=O)CCN1C(=O)c2c(C1=O)c(Cl)c(c(c2Cl)Cl)Cl,,,,100,,,,0,,,,,,,,,180
10.1016/j.polymdegradstab.2007.05.017,homopolymer,,PBPDP,,C=C(CC(C(=C)C(=O)OCC1COC2(CCCO2)O1)C(=O)OCC1COC2(CCCO2)O1)C(=O)OCC1COC2(CCCO2)O1,,,,100,,,,0,,,,,,,,,185
10.1016/j.porgcoat.2007.04.007,homopolymer,,PBDP,,C=C(C)C(=O)OCC(CN1CCN(CC1)CC(COC(=O)C(=C)C)O)O,,,,100,,,,0,,,,,,,,,196
10.1080/15685551.2013.771316,homopolymer,,PA6b,,[Rb]NC1=CC=C(C=C1)C2=CC(C3=CC=C(C=C3)N(C)C)=CC(C4=CC=C(C=C4)NC(CCCCC([Fr])=O)=O)=N2,,,,100,,,,0,,,,,,,,,207
