DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,Tg
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100,,,,0,,,,,145.1564317
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100,,,,0,,,,,145.2250993
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1cccc(c1)NC(=O)c1cc(cc(c1)C(=O)*)NC(=O)C(N1C(=O)c2c(C1=O)c(Br)c(c(c2Br)Br)Br)Cc1ccccc1,,,,100,,,,0,,,,,145.293767
10.1002/pi.6137,homopolymer,,,,[Fr]Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)NC(P1(=O)Oc2ccccc2c2c1cccc2)c1ccc(cc1)C(P1(=O)Oc2ccccc2c2c1cccc2)Nc1ccc(cc1)C(=O)[Rb])(C)C,,,,100,,,,0,,,,,205
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1cccc2c1cccc2NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100,,,,0,,,,,145.3624347
10.1007/BF00395568,homopolymer,,,,[Rb]Oc1ccc(C(C)(C)c2ccc(OP(Nc3ccccc3)([Fr])=O)cc2)cc1,,,,100,,,,0,,,,,145.4997701
10.1007/BF00395568,homopolymer,,,,[Rb]Oc1ccc(C2(c3ccc(OP(Nc4ccccc4)([Fr])=O)cc3)CC(c5ccccc52)=O)cc1,,,,100,,,,0,,,,,145.4311024
10.1007/BF00395568,homopolymer,,,,*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OP(=O)(Nc1ccccc1)*,,,,100,,,,0,,,,,145.5684378
10.1039/C0PY00103A,homopolymer,,,,[Fr]C(C(C=C1)=CC=C1NC2=NNC(C(C=C3)=CC=C3N[Rb])=N2)=O,,,,100,,,,0,,,,,375
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=C5C(C(N[Rb])=CC=C5)=CC=C4)=O)=C1)=O,,,,100,,,,0,,,,,196
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=CC(N[Rb])=CC=C4)=O)=C1)=O,,,,100,,,,0,,,,,212
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=CC=C(C5=CC=C(N[Rb])C=C5)C=C4)=O)=C1)=O,,,,100,,,,0,,,,,191
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=CC=C(CC5=CC=C(N[Rb])C=C5)C=C4)=O)=C1)=O,,,,100,,,,0,,,,,192
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=CC=C(N[Rb])C=C4)=O)=C1)=O,,,,100,,,,0,,,,,201
