DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,mix_content3,mix_smiles3,mix_wt3,mix_mol3,mix_content4,mix_smiles4,mix_wt4,mix_mol4,UL-94
10.1002/pat.4784,copolymer,,PMMA-co-BDPA-5,O=C(OC(C1=CC=C(C=C1)OP(OC2=CC=CC=C2)(OC3=CC=CC=C3)=O)C4=CC=C(C=C4)OP(OC5=CC=CC=C5)(OC6=CC=CC=C6)=O)C(CC(C(OC)=O)([Fr])C)C[Rb],CC(C(OC)=O)([Fr])C[Rb],O=C(OC(C1=CC=C(C=C1)OP(OC2=CC=CC=C2)(OC3=CC=CC=C3)=O)C4=CC=C(C=C4)OP(OC5=CC=CC=C5)(OC6=CC=CC=C6)=O)C([Fr])C[Rb],PMMA,95,,CC(C(OC)=O)=C,bis(4-((diphenoxyphosphoryl)oxy)phenyl)methyl acrylate(BDPA),5,,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.reactfunctpolym.2020.104631,copolymer,,PMMA,CCOP(COP(OCCOC(C(CC(C[Rb])(C(OC)=O)C)[Fr])=O)(C1=CC=CC=C1)=O)(OCC)=O,CC(C(OC)=O)([Fr])C[Rb],O=C(OCCOP(OCP(OCC)(OCC)=O)(C1=CC=CC=C1)=O)C([Fr])C[Rb],PMMA,,100,,HPD,,0,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.reactfunctpolym.2020.104631,copolymer,,MMA/HPD-5,CCOP(COP(OCCOC(C(CC(C[Rb])(C(OC)=O)C)[Fr])=O)(C1=CC=CC=C1)=O)(OCC)=O,CC(C(OC)=O)([Fr])C[Rb],O=C(OCCOP(OCP(OCC)(OCC)=O)(C1=CC=CC=C1)=O)C([Fr])C[Rb],PMMA,,95,,HPD,,5,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.reactfunctpolym.2020.104631,copolymer,,MMA/HPD-10,CCOP(COP(OCCOC(C(CC(C[Rb])(C(OC)=O)C)[Fr])=O)(C1=CC=CC=C1)=O)(OCC)=O,CC(C(OC)=O)([Fr])C[Rb],O=C(OCCOP(OCP(OCC)(OCC)=O)(C1=CC=CC=C1)=O)C([Fr])C[Rb],PMMA,,90,,HPD,,10,,,,,,,,,,,,,,,,,non-V-0
10.1021/acsomega.3c06235,copolymer,,PS148-Br,O=C(OCP1(=O)OC2=C(C=CC=C2)C2=CC=CC=C21)C([Fr])CC(C[Rb])C1=CC=CC=C1,[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],PS,,1,,FAA-DOPO,,0,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymdegradstab.2006.04.032,copolymer,,PMMA5,COC(C(C)(CC([Fr])(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)C)C[Rb])=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],PMMA,95,,,MEPP,5,,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymdegradstab.2006.04.032,copolymer,,PMMA10,COC(C(C)(CC([Fr])(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)C)C[Rb])=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],PMMA,90,,,MEPP,10,,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymdegradstab.2006.04.032,copolymer,,PMMA15,COC(C(C)(CC([Fr])(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)C)C[Rb])=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],PMMA,85,,,MEPP,15,,,,,,,,,,,,,,,,,,non-V-0
10.1002/pat.4784,copolymer,,PMMA-co-BDPA-5,COC(=O)C(C)([Fr])CC(C[Rb])C(=O)OC(C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1)C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1,CC(C(OC)=O)([Fr])C[Rb],O=C(OC(C1=CC=C(C=C1)OP(OC2=CC=CC=C2)(OC3=CC=CC=C3)=O)C4=CC=C(C=C4)OP(OC5=CC=CC=C5)(OC6=CC=CC=C6)=O)C([Fr])C[Rb],PMMA,95,,,BDPA,5,,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymdegradstab.2018.05.010,copolymer,,PHFC2.5,O=C(OCCCCCCOC(C1=CC=C(O1)C([Fr])=O)=O)CCP(OCCCCCCO[Rb])(C2=CC=CC=C2)=O,O=C([Fr])CCP(OCCCCCCO[Rb])(C1=CC=CC=C1)=O,O=C([Fr])C1=CC=C(O1)C(OCCCCCCO[Rb])=O,HFH,,100,,HCH,,2.5,,,,,,,,,,,,,,,,,non-V-0
