smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
*,4.663401,-4.8495226,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C,4.3396816,-4.172099,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC,4.585463,-3.6430948,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*C,4.8066645,-4.6950793,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O,4.5599756,-4.5835333,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=CC=C1,3.4567337,-5.309348,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC,4.6830416,-3.295096,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C=O,4.286433,-5.354547,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1,3.8642192,-5.4475126,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO,5.1153436,-3.8913794,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC=O,4.2773013,-5.454408,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC,5.652058,-3.150132,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
N,5.256177,-6.3363647,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*CC,4.9112735,-4.7068257,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN,4.757431,-6.239165,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=CC=C1,2.5159776,-5.8547945,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=CC=C1,2.3924117,-5.9766355,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN,4.6044183,-6.196127,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC,4.745647,-6.1389036,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCO,5.4832597,-3.4958117,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCC,4.8169985,-2.9283972,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1,3.9179325,-5.7632456,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC,4.5848236,-6.106669,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC=O,4.391611,-6.088542,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC,5.528061,-3.3216953,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC=O,4.592476,-5.8589535,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*C1=CC=CC=C1,9.319764,18.652868,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC1=CC=CC=C1,5.759938,-6.3922763,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(N)=O,4.176172,-6.0077047,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=CC=C1,9.606635,-5.842054,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(C)=O,4.4080477,-6.000893,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*CCC,5.0944486,-4.678003,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCC,4.797074,-2.7766807,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C,9.947052,-6.004701,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*O,11.18929,-5.3747163,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CO,5.894483,-2.7861676,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC=O,5.8092036,-2.793053,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(O)C=C1,2.2800515,-6.0332613,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC1=CC=CC=C1,5.9836426,-6.5448036,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCO,5.5668607,-2.7918103,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNCC,4.008268,-7.3380914,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC=O,4.29821,-6.7803926,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=C(C)C=C1,2.0472052,-6.030987,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCCC,5.052415,-2.4588141,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCOC,5.6306844,-2.8734965,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC1=CC=CC=C1,6.097937,-6.723917,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*OC,11.32037,-5.4606686,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC(C)=O,4.214279,-6.808464,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC=C1,3.90411,-6.095358,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CNC1=CC=CC=C1,6.1598845,-6.732246,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)O,5.9442387,-2.601105,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC=C1,3.927888,-6.1289415,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC=CC=C1,3.7206137,-6.0619073,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC=C1,4.117769,-5.965353,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C)C=C1,-1.5182269,-1.4516462,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC(C)=O,5.7448387,-2.692549,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)NC1=CC=CC=C1,6.35885,-6.8586845,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C)C=CC=C1,-2.7065945,-5.878467,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C,-2.479209,-5.6906123,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)C,3.5488389,-8.525828,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC=O,5.144786,-2.8741984,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C,4.1005177,-7.6990247,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C)=CC=C1,18.904993,2.8347993,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C)=C1,19.003958,2.8582592,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)CC,3.8274176,-7.9263763,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(CC2=CC=CC=C2)C=C1,9.36205,-5.518808,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*N,-7.2803683,21.670238,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC=O,6.108547,-2.687008,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCO,5.975253,-2.1265192,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(CNC2=CC=CC=C2)C=C1,6.1043434,-7.054471,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCC,6.040341,-3.3071272,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,6.166734,-7.05153,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(OC2=CC=CC=C2)C=C1,1.6782517,-6.5109987,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)NC=O,3.8468442,-6.7241654,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CNC=O,-2.839517,-5.7651777,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)C=O,4.6299047,-7.6515093,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C=O,4.522437,-7.4579244,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)N(C)C,4.6200657,-7.5864954,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C=O)C=CC=C1,3.2818131,-6.4788914,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C=O,3.1863194,-6.411275,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*C1=CC=C(C)C=C1,9.143696,18.957338,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C(C)=O,4.3322206,-7.476413,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCOC,5.957531,-1.9952335,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCCCC,5.048514,-2.2041504,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)C1=CC=CC=C1,3.491852,-8.832732,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C1=CC=CC=C1,5.5190315,-7.355306,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC1=CC=CC=C1,1.1723171,8.813236,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CNCC1=CC=CC=C1,3.5617118,-6.5631485,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=C(C=O)C=CC=C1,-3.212779,-6.006571,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1C=O,-3.1097825,-5.9464674,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(CN)C=CC=C1,-2.9065642,-5.7442155,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1CN,-2.869984,-5.9032993,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C(N)=O)C=CC=C1,3.4439082,-6.469758,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C(N)=O,3.3746808,-6.453246,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=C(C=O)C=CC=C1,3.4469159,-6.692443,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC=C1C=O,3.5947008,-6.7227387,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(CC)C1=CC=CC=C1,3.4266448,-8.941233,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
*C(C)C,5.1050224,-4.3905315,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
