shap_rank,feature,display_feature,mean_abs_shap,mean_shap,feature_mean,feature_std,mean_abs_shap_percent
1,C1=CC=CC=C1,c1ccccc1,1.7975718632997888,6.982225393264962e-16,1.8080869,2.1205187,13.297965938292863
2,C,C,1.0884030441758485,-3.091760321740942e-17,16.78987,13.548911,8.051720715084913
3,Br,Br,1.0257347691580507,5.271217124301508e-16,0.12407072,0.7707845,7.588117226616613
4,P,P,0.5458137900838053,6.58170189703943e-17,0.29369256,0.51013964,4.037787493992662
5,F,F,0.4931313911202577,-1.2342154958616422e-16,0.18987341,1.315099,3.6480569017042495
6,POC1=CC=CC=C1,POc1ccccc1,0.46186663063003847,1.4639016674909765e-18,0.20358464,0.5009917,3.416768390487448
7,OC1=CC=CC=C1,Oc1ccccc1,0.4353884887050091,-5.715072109884773e-17,0.88339156,1.5440246,3.2208900300073466
8,S,S,0.32896126662099706,2.1878010420652644e-16,0.07246539,0.3605064,2.4335693097206312
9,N,N,0.3076089907090792,-3.0302764517063214e-17,0.8519568,1.4817532,2.275610763762705
10,O,O,0.2886448864216425,-1.1483576630632965e-16,3.5675352,2.447644,2.135319286123733
11,O=CC1=CC=C(COCCO)C=C1,O=Cc1ccc(COCCO)cc1,0.24408114310058127,-1.2150383840175104e-17,0.21452995,0.39338782,1.805648382353325
12,CCC,CCC,0.23392801371018349,-9.169880045163476e-17,3.1469624,4.6745534,1.7305381897890386
13,CC1=CC=CC=C1,Cc1ccccc1,0.21087117583440546,5.3073754954885354e-17,1.7555012,1.9248892,1.5599697407736
14,CC,CC,0.2094667934278238,-3.0449154683812312e-18,4.951473,3.9985142,1.5495804874767787
15,COCC(C)C,COCC(C)C,0.2090499676787942,-8.900522138345138e-18,0.08351505,0.63204324,1.5464969197341105
16,NC1=CC=CC=C1,Nc1ccccc1,0.20776250145260305,-4.189686572359175e-17,0.381882,0.97079986,1.5369725817245226
17,OCCO,OCCO,0.14489540413631183,-7.530310177573583e-17,0.30995458,0.59346026,1.071898257954937
18,CN,CN,0.14206493162717354,-2.8106912015826747e-18,1.2117287,2.2047942,1.050959163510779
19,CO,CO,0.13043415493424607,-6.534857043679719e-17,2.413631,2.34249,0.9649177231343583
20,OPOC1=CC=CC=C1,OPOc1ccccc1,0.12473483790979893,-5.4003332513742124e-17,0.11340185,0.45420155,0.922755668192363
21,C=O,C=O,0.12413411891232136,-3.630476135377622e-18,1.5511265,1.3776511,0.9183117063513726
22,PC1=CC=CC=C1,Pc1ccccc1,0.12076900484626338,-2.798248037409002e-17,0.3241477,0.8382264,0.8934174736686449
23,CNC1=CC=CC=C1,CNc1ccccc1,0.11855509100041975,2.392747275514001e-17,0.25849152,0.71037465,0.877039518765468
24,CCC1=CC=CC=C1,CCc1ccccc1,0.11701460579814507,-2.2749031912809775e-17,1.123646,2.692328,0.865643412625551
25,CPC,CPC,0.1018033885876553,-4.0198739789302214e-17,0.24964388,0.7458421,0.7531148108628674
26,CCN,CCN,0.09931103776235196,1.4463348474810846e-17,0.7808767,1.5911633,0.7346770520962614
27,CCO,CCO,0.09849516210445103,1.6198071950787653e-17,1.3871136,1.8759581,0.7286414176216915
28,PNC1=CC=CC=C1,PNc1ccccc1,0.09675304240746477,-4.429766445827695e-17,0.07896583,0.5683761,0.7157536722892599
29,CCOC(=O)C1=CC=C(C=O)C=C1,CCOC(=O)c1ccc(C=O)cc1,0.0914817666706935,-3.571920068677983e-18,0.2589518,0.4196051,0.6767581547079728
30,CPO,CPO,0.0902492726723249,2.4974162447396057e-17,0.1876417,0.5067546,0.6676404868449647
31,CCC=O,CCC=O,0.08830432192340519,-6.470445370310116e-18,0.6552199,1.4668847,0.6532522505030177
32,COC,COC,0.08811887547903992,-6.704669637108672e-18,0.79158866,0.98864186,0.6518803662680142
33,O=CC1=CC=CC=C1,O=Cc1ccccc1,0.0875334555185072,5.118532180382199e-17,1.0054733,1.3186969,0.6475495826961852
34,COP,COP,0.08659498087338553,-4.177975359019247e-17,0.2791807,0.6226284,0.6406069930175337
35,CC(=O)OCCO,CC(=O)OCCO,0.07878901281113258,-1.302872484066969e-17,0.25380114,0.4502294,0.5828604853387306
36,COCCO,COCCO,0.077790291269827,1.241388614032348e-17,0.33522618,0.7042649,0.5754722048981694
37,CC(C)C=O,CC(C)C=O,0.07778566947817865,6.367972253585748e-19,0.17114905,0.6721169,0.5754380140938024
38,C[PH](C)=O,C[PH](C)=O,0.07391609663633547,-8.13929327124983e-18,0.21799831,0.6899695,0.5468119274837718
39,CNC,CNC,0.0715459729978431,-4.508817135872207e-17,0.5814061,1.4331092,0.5292783734391745
40,CC1=CC=C(OP=O)C=C1,Cc1ccc(OP=O)cc1,0.06844750566805227,9.65443149710299e-18,0.07248871,0.26478034,0.5063567234880927
41,O=CC1=CC=C(C=O)C=C1,O=Cc1ccc(C=O)cc1,0.06748907998668718,2.5420652455980805e-17,0.31066155,0.4808512,0.49926654126762676
42,CC1=CC=C(O)C=C1,Cc1ccc(O)cc1,0.06694692873980801,-1.493179700840796e-18,0.40670127,0.85593706,0.49525584830920016
