shap_rank,feature,display_feature,mean_abs_shap,mean_shap,feature_mean,feature_std,mean_abs_shap_percent
1,C1=CC=CC=C1,c1ccccc1,1.7975718632997888,6.982225393264962e-16,1.8080869,2.1205187,13.297965938292863
2,C,C,1.0884030441758485,-3.091760321740942e-17,16.78987,13.548911,8.051720715084913
3,Br,Br,1.0257347691580507,5.271217124301508e-16,0.12407072,0.7707845,7.588117226616613
4,P,P,0.5458137900838053,6.58170189703943e-17,0.29369256,0.51013964,4.037787493992662
5,F,F,0.4931313911202577,-1.2342154958616422e-16,0.18987341,1.315099,3.6480569017042495
6,POC1=CC=CC=C1,POc1ccccc1,0.46186663063003847,1.4639016674909765e-18,0.20358464,0.5009917,3.416768390487448
7,OC1=CC=CC=C1,Oc1ccccc1,0.4353884887050091,-5.715072109884773e-17,0.88339156,1.5440246,3.2208900300073466
8,S,S,0.32896126662099706,2.1878010420652644e-16,0.07246539,0.3605064,2.4335693097206312
9,N,N,0.3076089907090792,-3.0302764517063214e-17,0.8519568,1.4817532,2.275610763762705
10,O,O,0.2886448864216425,-1.1483576630632965e-16,3.5675352,2.447644,2.135319286123733
11,O=CC1=CC=C(COCCO)C=C1,O=Cc1ccc(COCCO)cc1,0.24408114310058127,-1.2150383840175104e-17,0.21452995,0.39338782,1.805648382353325
12,CCC,CCC,0.23392801371018349,-9.169880045163476e-17,3.1469624,4.6745534,1.7305381897890386
13,CC1=CC=CC=C1,Cc1ccccc1,0.21087117583440546,5.3073754954885354e-17,1.7555012,1.9248892,1.5599697407736
14,CC,CC,0.2094667934278238,-3.0449154683812312e-18,4.951473,3.9985142,1.5495804874767787
15,COCC(C)C,COCC(C)C,0.2090499676787942,-8.900522138345138e-18,0.08351505,0.63204324,1.5464969197341105
16,NC1=CC=CC=C1,Nc1ccccc1,0.20776250145260305,-4.189686572359175e-17,0.381882,0.97079986,1.5369725817245226
17,OCCO,OCCO,0.14489540413631183,-7.530310177573583e-17,0.30995458,0.59346026,1.071898257954937
18,CN,CN,0.14206493162717354,-2.8106912015826747e-18,1.2117287,2.2047942,1.050959163510779
19,CO,CO,0.13043415493424607,-6.534857043679719e-17,2.413631,2.34249,0.9649177231343583
20,OPOC1=CC=CC=C1,OPOc1ccccc1,0.12473483790979893,-5.4003332513742124e-17,0.11340185,0.45420155,0.922755668192363
