shap_rank,feature,display_feature,mean_abs_shap,mean_shap
1,CCC1=CC=C(C)C=C1,CCc1ccc(C)cc1,7.272404,0.84004074
2,O=CC1=CC=CC=C1,O=Cc1ccccc1,6.261528,1.0739024
3,CC1=CC=C(OC2=CC=CC=C2)C=C1,Cc1ccc(Oc2ccccc2)cc1,4.6182694,-0.05222538
4,C1=CC=C(C2=CC=CC=C2)C=C1,c1ccc(-c2ccccc2)cc1,4.162679,-0.21669915
5,C1=CC=CC=C1,c1ccccc1,3.647067,-0.024169983
6,COP,COP,3.5708597,0.15477364
7,O=C(NC1=CC=CC=C1)C1=CC=CC=C1,O=C(Nc1ccccc1)c1ccccc1,2.8392224,0.11143111
8,CCC=O,CCC=O,2.4547067,0.15304653
9,CCCOC,CCCOC,2.4045808,0.09699363
10,CC1=C(O)C=CC=C1,Cc1ccccc1O,2.3716967,0.25520113
11,CCNC=O,CCNC=O,2.2512376,-0.27924216
12,NP,NP,2.2489958,0.36853564
13,CCO,CCO,2.0887368,-0.49270174
14,C,C,1.9925481,-0.25450188
15,C1=COC=N1,c1cocn1,1.9826188,-0.06979961
16,COC1=CC=CC=C1,COc1ccccc1,1.9654741,-0.023026006
17,COC1=CC=C(CC2=CC=CC=C2)C=C1,COc1ccc(Cc2ccccc2)cc1,1.9159882,0.25430045
18,CCC,CCC,1.7843847,-0.1178849
19,NC1=NC(N)=NC(N)=N1,Nc1nc(N)nc(N)n1,1.5508981,0.12562588
20,CC1=CC=CC=C1,Cc1ccccc1,1.5373077,-0.9306585
21,C1=CC=C(OC2=CC=CC=C2)C=C1,c1ccc(Oc2ccccc2)cc1,1.4795772,0.01723415
22,NCCCCCCN,NCCCCCCN,1.4603182,0.05158034
23,CCC1=CC=CC=C1,CCc1ccccc1,1.4258864,0.381583
24,C=O,C=O,1.3772855,0.3153408
25,CC,CC,1.3606231,-0.2183944
26,NC1=CC=CC=C1,Nc1ccccc1,1.3005896,-0.08742408
27,CPC1=CC(N)=CC=C1,CPc1cccc(N)c1,1.2673283,0.094491065
28,O,O,1.131961,-0.3294917
29,POC1=CC=CC=C1,POc1ccccc1,1.0813214,-0.007149029
30,NCCN,NCCN,0.932187,-0.22297113
31,NC1=CC(C=O)=CC=C1,Nc1cccc(C=O)c1,0.9131109,0.001473979
32,CCCNC1=CC=C(C)C=C1,CCCNc1ccc(C)cc1,0.9064147,-0.10481303
33,O=S,O=S,0.88599783,-0.07417777
34,CN,CN,0.880508,0.030487008
35,COPO,COPO,0.80914265,0.024562083
36,O=COC1=CC=C(CC2=CC=CC=C2)C=C1,O=COc1ccc(Cc2ccccc2)cc1,0.8020599,-0.003851134
37,*,*,0.7988854,0.082523674
38,CO,CO,0.791918,-0.14164633
39,CCC1=CC=C(O)C=C1,CCc1ccc(O)cc1,0.79191476,-0.19100748
40,C=C,C=C,0.76495636,0.046226565
41,N,N,0.7539288,0.051072665
42,CCCN,CCCN,0.69037974,0.06407947
43,O=P,O=P,0.6868861,-0.06675906
44,O=CO,O=CO,0.6807749,-0.4385215
45,NC(=O)C1=CC=CC=C1,NC(=O)c1ccccc1,0.6621034,-0.0022918805
46,CC1=CC=C(P)C=C1,Cc1ccc(P)cc1,0.64907974,0.05633034
47,CCN(C)CC,CCN(C)CC,0.64507836,-0.1922918
48,COC,COC,0.63393074,0.12461683
49,C1=CC=C(CNC2=CC=CC=C2)C=C1,c1ccc(CNc2ccccc2)cc1,0.6325407,0.0963661
50,CC1=CC=C(Br)C=C1,Cc1ccc(Br)cc1,0.5904211,-0.04659882
51,CCNCC,CCNCC,0.5885663,0.09844364
52,CC1=CC=C(O)C=C1,Cc1ccc(O)cc1,0.5836133,-0.13163996
53,CCCO,CCCO,0.58059365,-0.009527552
54,CC(=O)NC1=CC=C(C)C=C1,CC(=O)Nc1ccc(C)cc1,0.57325184,-0.19419977
55,CCCNC,CCCNC,0.5661028,0.09788382
56,CNC1=CC=CC=C1,CNc1ccccc1,0.56425893,0.17395982
57,CC1=CC(O)=CC=C1,Cc1cccc(O)c1,0.5564077,-0.1130258
58,PC1=CC=C(C2=CC=NC=C2)C=C1,Pc1ccc(-c2ccncc2)cc1,0.5451326,-0.0058856583
59,CC=O,CC=O,0.53767455,0.04662602
60,CCC(=O)OC,CCC(=O)OC,0.52652955,0.028611882
61,NC1=CC(CO)=CC=C1,Nc1cccc(CO)c1,0.52006304,-0.011223914
62,CC1=CC(N)=CC=C1,Cc1cccc(N)c1,0.4942876,0.049278274
63,CC1=CC=C(N)C=C1,Cc1ccc(N)cc1,0.48311108,0.11668446
64,CC1=CC=C(C=O)C=C1,Cc1ccc(C=O)cc1,0.463792,-0.009808617
65,NCCCCCC=O,NCCCCCC=O,0.4633753,-0.0016600584
