shap_rank,feature,display_feature,mean_abs_shap,mean_shap
1,CC1=CC=C(CO)C=C1,Cc1ccc(CO)cc1,0.46409532,-0.13385059
2,CP,CP,0.30575716,-0.013834101
3,N,N,0.27201754,-0.08502171
4,CCOCC1=CC=C(C)C=C1,CCOCc1ccc(C)cc1,0.21553148,-0.046621833
5,CCC,CCC,0.207732,0.00367792
6,O=P,O=P,0.20757681,-0.04621779
7,C1=CC=CC=C1,c1ccccc1,0.16827306,-0.030337254
8,C1=NC=NC=N1,c1ncncn1,0.14951748,-0.014055886
9,CO,CO,0.13443592,0.0072294995
10,O=CC1=CC=C(C=O)C=C1,O=Cc1ccc(C=O)cc1,0.12645924,-0.044189177
11,CC1=CC=CC=C1,Cc1ccccc1,0.11736255,-0.029573735
12,CCCNC,CCCNC,0.11245606,-0.027584376
13,CCN,CCN,0.10471161,-0.0014459095
14,[NH4+],[NH4+],0.101956174,-0.014570961
15,CC,CC,0.096590854,-0.007574589
16,CPC,CPC,0.096042454,-0.01709941
17,O,O,0.09272551,-0.017101452
18,C,C,0.08149306,-0.009898115
19,COC(=O)C1=CC=C(C)C=C1,COC(=O)c1ccc(C)cc1,0.07338872,-0.015833875
20,CCNC,CCNC,0.071844764,-0.0031703094
21,CCC=O,CCC=O,0.07034285,0.002861521
22,O=CC1=CC=CC(C=O)=C1,O=Cc1cccc(C=O)c1,0.06826411,-0.011809473
23,CPC1=CC=CC=C1,CPc1ccccc1,0.055799376,-0.007950467
24,CNCC1=CC(C)=CC=C1,CNCc1cccc(C)c1,0.052810896,-0.014818345
25,CC1=CC(C=O)=CC(NC=O)=C1,Cc1cc(C=O)cc(NC=O)c1,0.049261875,-0.0058744713
26,CC1=CC(C=O)=CC=C1,Cc1cccc(C=O)c1,0.046563115,-0.014362257
27,CCCC,CCCC,0.046377778,0.0017069351
28,CC1=CC=C(COCCO)C=C1,Cc1ccc(COCCO)cc1,0.042077992,0.007466723
29,O=CC1=CC(C(=O)OCCO)=CC=C1,O=Cc1cccc(C(=O)OCCO)c1,0.03981597,-0.014194797
30,COP(=O)(CCC=O)C1=CC=CC=C1,COP(=O)(CCC=O)c1ccccc1,0.03843461,0.006914371
31,COC,COC,0.037061624,0.0010231218
32,COC1=CC=C(C)C=C1,COc1ccc(C)cc1,0.037020586,-9.89281e-05
33,CCO,CCO,0.036532264,0.007614211
34,CPO,CPO,0.034263052,-0.009590868
35,CCCCCNC,CCCCCNC,0.03384568,0.02510687
36,CCCP,CCCP,0.032706387,0.005279035
37,COPC1=CC=CC=C1,COPc1ccccc1,0.030824495,0.011200569
38,CCCC=O,CCCC=O,0.030414332,-0.005048867
39,CC1=CC=CC(NCC2=CC=CC=C2)=C1,Cc1cccc(NCc2ccccc2)c1,0.030046705,0.002930098
40,CC(C=O)CC=O,CC(C=O)CC=O,0.029282361,-0.007865453
41,O=PC1=CC=CC=C1,O=Pc1ccccc1,0.029005874,-0.0017968571
42,O=CC1=CC(C(=O)O)=CC=C1,O=Cc1cccc(C(=O)O)c1,0.0280728,-0.0066696038
43,CPOC1=CC=CC=C1,CPOc1ccccc1,0.027599301,0.0009435826
44,C=O,C=O,0.027059184,-0.0013893512
45,*P,*P,0.026016569,-0.0061863135
46,OCC1=CC=CC=C1,OCc1ccccc1,0.024279952,-0.008094445
47,CC1=CC=CC=C1C,Cc1ccccc1C,0.023575373,-0.0007236372
48,CC1=CC=CC(C)=C1,Cc1cccc(C)c1,0.022254284,-0.002679291
49,O=CCCPC1=CC=CC=C1,O=CCCPc1ccccc1,0.019694809,0.006386883
50,CCCP(=O)(OC)C1=CC=CC=C1,CCCP(=O)(OC)c1ccccc1,0.019683415,0.0045586037
51,NCC1=CC=CC=C1,NCc1ccccc1,0.018383704,0.0014446041
52,CCOC(=O)C1=CC(C=O)=CC=C1,CCOC(=O)c1cccc(C=O)c1,0.01704078,-0.0060400097
53,CCOC(=O)C1=CC(C)=CC=C1,CCOC(=O)c1cccc(C)c1,0.013857226,0.0019820214
54,CCOC,CCOC,0.012799301,0.0011756128
55,CCCCCCNC(C)=O,CCCCCCNC(C)=O,0.012605361,0.0032667012
56,CC1=CC=CC=C1C=O,Cc1ccccc1C=O,0.012598323,-0.0010137717
57,CNC1=CC(C)=CC=C1,CNc1cccc(C)c1,0.012277762,-0.0026695083
58,OCCO,OCCO,0.011449564,0.0022349667
59,CN(C)CC1=CC=CC=C1,CN(C)Cc1ccccc1,0.010549847,-0.0031490452
60,CCCCCNCCCC,CCCCCNCCCC,0.009647801,-0.0026886214
61,CCNCC,CCNCC,0.009146777,0.0005546709
62,C1=CC=C(C2=CC=CC=C2)C=C1,c1ccc(-c2ccccc2)cc1,0.0083767865,0.0012996282
63,CCCNCC,CCCNCC,0.0076307817,-0.0017878413
64,CC1=CC=C(C)C(C)=C1,Cc1ccc(C)c(C)c1,0.006957772,-0.0015686896
65,CCCCCC,CCCCCC,0.0068210205,-0.0009846023
66,CC=O,CC=O,0.006680545,0.00017167111
67,O=C1NCC2=C1C=CC=C2,O=C1NCc2ccccc21,0.0042791907,-0.00082282466
68,CCCCCCNC(=O)CC,CCCCCCNC(=O)CC,0.004227924,-0.0010080427
69,CCNC(=O)CC,CCNC(=O)CC,0.0041047237,0.0004268311
70,CC1=CC(CNC2=CC=CC=C2)=CC=C1,Cc1cccc(CNc2ccccc2)c1,0.0037638529,-0.00013570505
71,NC=O,NC=O,0.0035971543,0.00068282895
72,CC1=CC=C(CNC2=CC(C)=CC=C2)C=C1,Cc1ccc(CNc2cccc(C)c2)cc1,0.0035212324,0.00072996557
73,CCCCNCCC,CCCCNCCC,0.003189113,-0.0011560621
74,O=CC1=CC=CC=C1C=O,O=Cc1ccccc1C=O,0.0027080942,-0.00074859406
75,CC1=CC=CC=C1CN,Cc1ccccc1CN,0.0022078408,-0.0012246527
76,CCOCC,CCOCC,0.0018722821,0.0013753268
77,CCOC1=CC=CC=C1,CCOc1ccccc1,0.0018632511,-0.00050710497
