rank,feature,mean_abs_SHAP,mean_SHAP
1,CC1=CC=C(CO)C=C1,0.05111848286855191,0.00872275635236768
2,CP,0.03976010874038075,0.005155126450895887
3,N,0.03196806704259265,0.0005774181629648743
4,CCC,0.028304183917544554,0.0013604405026794233
5,O=P,0.028041366853551623,0.005019537563936095
6,CCOCC1=CC=C(C)C=C1,0.022412941837793684,0.0037219003247704573
7,C1=CC=CC=C1,0.02208794886134187,-0.0013154444187701661
8,C1=NC=NC=N1,0.018754797546031026,0.00024952449529393915
9,CO,0.017475707524427706,0.0018480759089209036
10,O=CC1=CC=C(C=O)C=C1,0.017237082103626487,0.004036928662456586
11,CCCNC,0.01713386253880527,0.00017800575703698905
12,CC1=CC=CC=C1,0.016669161569184337,0.001070617411192239
13,CCN,0.015234557235982715,0.0009465012012062948
14,[NH4+],0.014054158757025585,0.0013931749693851991
15,CPC,0.012954526706598263,0.001155258561411991
16,CC,0.01079054559193854,-0.0015823854155198832
17,O,0.01070326517441109,0.000603784489732121
18,C,0.009992886844729636,-0.0007545299243181192
19,CCNC,0.009846281823506255,0.002815336614965707
20,CCC=O,0.008569425242684616,0.001215966198990522
