smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
C,6.4746914,4.307735,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O,6.7954907,4.5639124,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC,6.516071,4.210315,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=CC=C1,7.5513988,4.710239,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C=O,6.867903,4.5949225,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1,7.3280826,4.602459,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO,6.684328,4.5322948,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC=O,6.9958873,4.5449862,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC,6.2206073,3.765927,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
N,6.430377,3.3753927,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN,6.379075,3.481619,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC,7.190057,5.382258,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=CC=C1,10.353807,-1.1026983,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1,7.2384424,4.603487,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN,6.262774,3.5234406,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC,6.7915144,2.945726,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC,6.647488,2.9499826,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC1=CC=CC=C1,-6.931355,4.418009,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
P,8.054837,13.247715,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=P,8.117993,13.324798,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC=O,6.816383,2.6407504,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC=O,6.989933,2.616302,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(C)=O,6.885576,2.7524366,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(N)=O,7.0820723,2.5257854,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCO,6.851616,4.698591,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=CC=C1,10.577774,-0.862948,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC1=CC=CC=C1,-6.857492,4.480588,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=CC=C1,10.600455,-2.0603669,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC,7.070629,4.986372,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC1=CC=CC=C1,-6.958681,4.577219,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CO,7.1837716,5.503015,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(O)C=C1,11.060494,-1.165097,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CNC1=CC=CC=C1,-6.896305,4.422047,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)NC1=CC=CC=C1,-6.8788652,4.467375,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC=O,7.056113,5.6060605,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC=C1,-6.5854726,4.547137,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC=C1,-6.5752068,4.5873966,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)O,7.264694,5.599175,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OP,8.059426,13.102766,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC=O,-1.3338133,-4.4133687,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CP,-1.4483535,7.5826225,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=PO,7.9782305,13.127203,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C,10.90417,-1.6613529,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC(C)=O,6.8931117,5.5777473,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCC,6.1469336,3.844048,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC=C1,-6.408888,4.756361,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC=CC=C1,-6.552188,4.525629,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COP,8.268108,13.883465,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COP=O,8.147131,13.883742,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNCC,7.248578,2.2729094,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CP=O,-1.1202259,7.493578,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
PC1=CC=CC=C1,-1.4218276,7.5050836,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(CC2=CC=CC=C2)C=C1,10.825244,-1.4838394,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC=O,7.058796,2.4548728,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCC,8.402026,5.4016876,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC(C)=O,7.0722775,2.373698,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C)=CC=C1,-7.055898,-12.160058,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C)=C1,-7.1335783,-12.285328,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=PC1=CC=CC=C1,-1.1988714,7.606672,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(CNC2=CC=CC=C2)C=C1,-6.638062,4.530386,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC=O,8.389524,5.2812705,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C)C=C1,8.23427,4.2446203,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(C)=O,8.658818,5.3427105,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,-6.790443,4.4077063,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
POC1=CC=CC=C1,9.706048,-1.3900002,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=POC1=CC=CC=C1,9.624143,-1.3574522,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCC1=CC=CC=C1,7.9375496,4.7655377,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)C,12.944832,-2.1356,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCN,6.034999,3.656242,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C,12.506693,-2.2293434,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCC,5.9784236,4.0311866,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC,-1.3825322,7.4349365,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(O)C1=CC=CC=C1,7.8146653,4.2447014,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=C(O)C=C1,10.700518,-2.0584054,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCC1=CC=CC=C1,8.062541,4.812032,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C)C=CC=C1,17.043217,-10.796848,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C,17.026344,-11.028838,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC1=CC=CC=C1,-1.4086096,7.417286,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C=O)C=C1,7.457588,4.421476,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC(=O)C1=CC=CC=C1,8.08596,4.4204316,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=C(C)C=C1,10.676106,-0.4646383,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C=O)=CC=C1,-6.9276414,-12.0801525,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C=O)=C1,-7.034212,-12.088861,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=CC=C1,10.613663,-1.9437119,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCNC,-4.3789907,3.5564115,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)CC,12.112667,-2.417017,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](C)=O,-1.3302615,7.691696,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCC=O,5.66451,3.858426,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)C1=CC=CC=C1,-1.2218986,7.5943193,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C=O)C=CC=C1,-6.001782,5.6101866,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C=O,-6.022881,5.537959,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=CC=C1)C1=CC=CC=C1,10.654749,-1.5803823,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=CC=C2)C=C1,10.979422,-1.5070506,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC(C=O)=CC=C1,11.578064,-5.9850082,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC(C=O)=C1,11.590453,-6.3374186,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCCC,5.8879023,4.03589,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPO,-13.758892,7.7648687,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)O,-13.717113,7.8011885,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCC1=CC=CC=C1,8.245715,4.9878507,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C)C,11.570663,-0.9281866,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCCO,-12.265515,16.989271,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(OC2=CC=CC=C2)C=C1,9.877076,0.11120966,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC(C)=CC=C1,-7.257011,-12.288049,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC(C)=C1,-7.0890145,-12.2047825,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCCO,-12.251743,17.024038,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(CN)=CC=C1,-7.357029,-12.425466,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(CN)=C1,-7.4575233,-12.465541,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(=O)C1=CC=CC=C1,8.414954,4.7838283,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(=O)NC,-2.749623,1.8390207,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(N)=O,-2.5733676,1.7930183,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(PC2=CC=CC=C2)C=C1,-1.2379894,7.762269,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C1=CC=CC=C1)C1=CC=CC=C1,11.20944,-1.5625598,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=C(C=O)C=CC=C1,17.218067,-11.007881,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1C=O,17.15347,-10.936028,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,11.512461,-0.83845174,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=C(O)C=C1,10.668131,-1.9717073,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COPC,-13.862202,7.8628182,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=COCCO,-12.037335,17.27127,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC(C)=CC=C1,23.873756,0.32796106,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC(C)=C1,24.082285,0.40041324,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO[PH](C)=O,-13.743534,7.7238517,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C(N)=O)=CC=C1,11.871558,-6.0944204,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C(N)=O)=C1,11.844305,-6.154416,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=CC=C1)C1=CC=C(O)C=C1,10.69962,-1.7777176,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCN,5.9964805,3.7895827,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=C(C=O)C=C1,8.211653,4.0840983,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCCO,-12.003784,17.110588,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1CN,16.648079,-10.354372,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C(N)=O,-6.043637,5.551042,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC=C1C=O,-6.2286067,5.2755623,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC2=C(C=C1)CNC2,16.56685,-10.256601,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C2CNCC2=C1,16.646961,-10.310325,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NCC2=C1C=CC=C2,-6.0774136,5.5702405,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NCC2=CC=CC=C12,-6.0792785,5.4921284,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)CC1=CC=CC=C1,13.361739,-2.2301037,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)OCCO,-12.1057,17.184616,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC=CC=C1C=O,16.843515,-10.645766,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NC(=O)C2=C1C=CC=C2,16.437918,-10.316313,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NC(=O)C2=CC=CC=C12,16.515427,-10.331536,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,11.346306,-1.174382,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCO,-1.5410763,-4.6436625,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=[PH](C1=CC=CC=C1)C1=CC=CC=C1,-1.5225623,7.877362,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(O)C=CC=C1,25.994015,5.6631737,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1O,25.755775,5.7591834,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OPC1=CC=CC=C1,14.84896,-6.647605,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(CNC2=CC=CC=C2)=CC=C1,-7.7362003,-12.517676,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(CNC2=CC=CC=C2)=C1,-7.764482,-12.571185,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCNC,-4.157277,3.228461,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=[PH](O)C1=CC=CC=C1,14.913293,-6.5653157,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(N)C=C1,-4.454387,-0.965299,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,11.112238,-1.4933822,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=C(OC)C=C1,10.747167,-0.91737574,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OPO,8.356598,13.791247,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=[PH](O)O,8.639789,14.026034,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=C(C=CC=C2)C1,-9.230843,-11.136508,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=CC=CC=C2C1,-9.299732,-11.160144,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=C(C=CC=C2)C1=O,16.29252,-10.455085,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=CC=CC=C2C1=O,16.373528,-10.260121,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC(C=O)=CC=C1,23.94979,0.33295834,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC(C=O)=C1,24.04078,0.46598047,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC(C=O)=CC=C1,11.692183,-6.2523556,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC(C=O)=C1,11.834546,-6.110295,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1C(=O)C2=C(C=CC=C2)C1=O,-9.223563,-11.087982,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1C(=O)C2=CC=CC=C2C1=O,-9.103658,-11.199927,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC(C=O)=CC=C1,24.035786,0.3483034,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC(C=O)=C1,24.16309,0.5392655,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC(C=O)=CC=C1,11.80042,-6.142375,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC=CC(C=O)=C1,11.959437,-6.080384,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COPC1=CC=CC=C1,14.815187,-6.4861035,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
