combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
0,0.01,0.001,30,0.8,241,0.7658606229975911
1,0.01,0.001,30,0.85,293,0.7685363014515267
2,0.01,0.001,30,0.9,359,0.7645930883247705
3,0.01,0.001,30,0.95,502,0.766888219466888
4,0.01,0.001,30,0.98,659,0.7618805415794712
5,0.01,0.001,40,0.8,222,0.7557371893868456
6,0.01,0.001,40,0.85,269,0.7613954982808587
7,0.01,0.001,40,0.9,332,0.7764754754755507
8,0.01,0.001,40,0.95,461,0.7542624651470214
9,0.01,0.001,40,0.98,603,0.760253113141761
10,0.01,0.001,50,0.8,205,0.7601785960787928
11,0.01,0.001,50,0.85,246,0.760064183316176
12,0.01,0.001,50,0.9,305,0.7713487433914574
13,0.01,0.001,50,0.95,423,0.7625458029328741
14,0.01,0.001,50,0.98,551,0.7505762450641227
15,0.01,0.001,60,0.8,180,0.7437564269928731
16,0.01,0.001,60,0.85,217,0.7449891790362554
17,0.01,0.001,60,0.9,273,0.7535336896623374
18,0.01,0.001,60,0.95,377,0.7440848680524443
19,0.01,0.001,60,0.98,485,0.7489736337469537
20,0.01,0.001,70,0.8,141,0.7409990177031041
21,0.01,0.001,70,0.85,176,0.738011854049659
22,0.01,0.001,70,0.9,221,0.7602428214047358
23,0.01,0.001,70,0.95,305,0.7506606625216973
24,0.01,0.001,70,0.98,392,0.7519562031725157
25,0.01,0.005,30,0.8,218,0.7637137698968612
26,0.01,0.005,30,0.85,268,0.7543947471296292
27,0.01,0.005,30,0.9,328,0.7723387022325244
28,0.01,0.005,30,0.95,472,0.7698390775337647
29,0.01,0.005,30,0.98,623,0.7633812935458348
30,0.01,0.005,40,0.8,204,0.7613564747124784
31,0.01,0.005,40,0.85,248,0.7668126758664796
32,0.01,0.005,40,0.9,304,0.7658070597476706
33,0.01,0.005,40,0.95,433,0.7541343749351203
34,0.01,0.005,40,0.98,573,0.7511476828320587
35,0.01,0.005,50,0.8,185,0.7591207091445651
36,0.01,0.005,50,0.85,223,0.7650884570832631
37,0.01,0.005,50,0.9,272,0.7604524659569349
38,0.01,0.005,50,0.95,382,0.7574377747722647
39,0.01,0.005,50,0.98,504,0.7613508146086267
40,0.01,0.005,60,0.8,153,0.7617057772166695
41,0.01,0.005,60,0.85,192,0.7603335374836152
42,0.01,0.005,60,0.9,241,0.7575768786015751
43,0.01,0.005,60,0.95,333,0.7605725000965223
44,0.01,0.005,60,0.98,434,0.759791910984824
45,0.01,0.005,70,0.8,128,0.7460290649197824
46,0.01,0.005,70,0.85,159,0.7452126874505973
47,0.01,0.005,70,0.9,198,0.755135011428903
48,0.01,0.005,70,0.95,286,0.7480930261514814
49,0.01,0.005,70,0.98,366,0.7562752583627879
50,0.01,0.01,30,0.8,205,0.7559829105383818
51,0.01,0.01,30,0.85,252,0.7541000603904028
52,0.01,0.01,30,0.9,309,0.7731297134323298
53,0.01,0.01,30,0.95,432,0.756867617101876
54,0.01,0.01,30,0.98,582,0.7659033088485194
55,0.01,0.01,40,0.8,186,0.7510080356915838
56,0.01,0.01,40,0.85,234,0.75767051573285
57,0.01,0.01,40,0.9,287,0.7641864097468876
58,0.01,0.01,40,0.95,406,0.7611091550145141
59,0.01,0.01,40,0.98,535,0.7625658368473551
60,0.01,0.01,50,0.8,175,0.7536148683725455
61,0.01,0.01,50,0.85,213,0.7531705826907729
62,0.01,0.01,50,0.9,267,0.755078184674511
63,0.01,0.01,50,0.95,371,0.7603630196728896
64,0.01,0.01,50,0.98,488,0.7648535746924201
65,0.01,0.01,60,0.8,151,0.7521147205125759
66,0.01,0.01,60,0.85,190,0.7573590713837944
67,0.01,0.01,60,0.9,237,0.7622642763763365
68,0.01,0.01,60,0.95,328,0.7497974599298878
69,0.01,0.01,60,0.98,418,0.7591871311650031
70,0.01,0.01,70,0.8,125,0.7379229066713358
71,0.01,0.01,70,0.85,152,0.7426559514248126
72,0.01,0.01,70,0.9,192,0.752623031035766
73,0.01,0.01,70,0.95,263,0.7591846325703789
74,0.01,0.01,70,0.98,338,0.7605439791535399
75,0.01,0.02,30,0.8,174,0.7446024102703148
76,0.01,0.02,30,0.85,211,0.7491751005808343
77,0.01,0.02,30,0.9,264,0.7578329600366829
78,0.01,0.02,30,0.95,381,0.7634476482224632
79,0.01,0.02,30,0.98,523,0.7540741226488643
80,0.01,0.02,40,0.8,163,0.7580893100357348
81,0.01,0.02,40,0.85,199,0.7495540593686401
82,0.01,0.02,40,0.9,248,0.7617097907589047
83,0.01,0.02,40,0.95,349,0.7554374995890292
84,0.01,0.02,40,0.98,475,0.7632682145634977
85,0.01,0.02,50,0.8,147,0.7585153176594652
86,0.01,0.02,50,0.85,176,0.7515278095199905
87,0.01,0.02,50,0.9,225,0.7612677149426051
88,0.01,0.02,50,0.95,321,0.7648755585887725
89,0.01,0.02,50,0.98,427,0.7606432951720496
90,0.01,0.02,60,0.8,129,0.7588046721573577
91,0.01,0.02,60,0.85,158,0.755418072091359
92,0.01,0.02,60,0.9,200,0.7656219845783954
93,0.01,0.02,60,0.95,286,0.7531331001991284
94,0.01,0.02,60,0.98,374,0.7517204121367898
95,0.01,0.02,70,0.8,106,0.7442367423153866
96,0.01,0.02,70,0.85,128,0.741307884866103
97,0.01,0.02,70,0.9,161,0.7588509919260789
98,0.01,0.02,70,0.95,232,0.7578996454414278
99,0.01,0.02,70,0.98,303,0.7557792767108613
100,0.01,0.05,30,0.8,147,0.7449355125538439
101,0.01,0.05,30,0.85,173,0.7513202492010614
102,0.01,0.05,30,0.9,216,0.7594577104208321
103,0.01,0.05,30,0.95,307,0.7461830644914957
104,0.01,0.05,30,0.98,428,0.7574018344185612
105,0.01,0.05,40,0.8,135,0.7461899372250771
106,0.01,0.05,40,0.85,156,0.7419251010602645
107,0.01,0.05,40,0.9,194,0.7575716765578852
108,0.01,0.05,40,0.95,281,0.7533927414737424
109,0.01,0.05,40,0.98,381,0.7598946510589555
110,0.01,0.05,50,0.8,118,0.7421701108658013
111,0.01,0.05,50,0.85,139,0.7395192899992858
112,0.01,0.05,50,0.9,175,0.7510759747869881
113,0.01,0.05,50,0.95,253,0.7518225831472911
114,0.01,0.05,50,0.98,345,0.7525463793405084
115,0.01,0.05,60,0.8,102,0.7345056425250462
116,0.01,0.05,60,0.85,123,0.7466523025764487
117,0.01,0.05,60,0.9,157,0.742695289559862
118,0.01,0.05,60,0.95,226,0.752317498980092
119,0.01,0.05,60,0.98,298,0.7658108758310979
120,0.01,0.05,70,0.8,87,0.7426813528374556
121,0.01,0.05,70,0.85,105,0.7389297071443713
122,0.01,0.05,70,0.9,134,0.7486071329262101
123,0.01,0.05,70,0.95,189,0.7429235970448655
124,0.01,0.05,70,0.98,242,0.7515636357540738
125,0.03,0.001,30,0.8,121,0.7453420864758497
126,0.03,0.001,30,0.85,152,0.7447548790517116
127,0.03,0.001,30,0.9,190,0.7546097124839527
128,0.03,0.001,30,0.95,270,0.7457442677333569
129,0.03,0.001,30,0.98,355,0.74830966268804
130,0.03,0.001,40,0.8,111,0.7467815556417924
131,0.03,0.001,40,0.85,139,0.7468975174462366
132,0.03,0.001,40,0.9,174,0.7592545167586227
133,0.03,0.001,40,0.95,248,0.7551338992070052
134,0.03,0.001,40,0.98,325,0.7559572277805146
135,0.03,0.001,50,0.8,99,0.7429795971267458
136,0.03,0.001,50,0.85,123,0.7453915290057358
137,0.03,0.001,50,0.9,153,0.7594318192271043
138,0.03,0.001,50,0.95,213,0.7427886693810418
139,0.03,0.001,50,0.98,277,0.7608425293167626
140,0.03,0.001,60,0.8,83,0.7312818667923338
141,0.03,0.001,60,0.85,102,0.7158508584604959
142,0.03,0.001,60,0.9,125,0.7243484501872622
143,0.03,0.001,60,0.95,176,0.7236977310242549
144,0.03,0.001,60,0.98,227,0.7280293617904816
145,0.03,0.001,70,0.8,64,0.7251670589195822
