R2,RMSE,MAE,task,model,fold,best_score_inner_cv,selection_method,search_error
0.6124282049585583,5.878130497138842,3.8436328783537217,LOI,MLP,1,0.5617418931955968,random_search,
-0.41698583950991397,10.734652971154594,4.806046734860068,LOI,MLP,2,0.6315707664086758,random_search,
0.640841004690718,5.131105863045042,3.717236237776907,LOI,MLP,3,0.5205612263983713,random_search,
0.743113009036541,4.966537897297068,3.4992125552545783,LOI,MLP,4,0.578400472016313,random_search,
0.6793119605076103,4.719756154551323,3.3760534215856484,LOI,MLP,5,0.5751969143062595,random_search,
0.6859904541617936,5.290961075811798,3.4611686709113214,LOI,SVR/SVM,1,0.6764794013456056,random_search,
0.7088376249374971,4.866008696230119,3.3484270816631656,LOI,SVR/SVM,2,0.6890420528812183,random_search,
0.7144525667624063,4.575164684794554,3.3246527277047506,LOI,SVR/SVM,3,0.6890455496773565,random_search,
0.7059890793751533,5.313301114412781,3.587554365221233,LOI,SVR/SVM,4,0.6560574505169748,random_search,
0.7365252276110159,4.27806815507497,2.9211437616093776,LOI,SVR/SVM,5,0.6417444707066434,random_search,
0.6153234843564801,5.8561336263892505,4.064243005049857,LOI,Ridge,1,0.5763057767250049,random_search,
0.4402825550386935,6.746673223981327,4.601810782583136,LOI,Ridge,2,0.5934007469525004,random_search,
0.6147376925049298,5.314297483570837,4.029051917226691,LOI,Ridge,3,0.5281519693344204,random_search,
0.7244626629063932,5.143667966870842,3.881817275355103,LOI,Ridge,4,0.5709917510646044,random_search,
0.5708047666030363,5.460163219800262,3.9336658780536946,LOI,Ridge,5,0.6164994102216773,random_search,
0.6211320929590083,5.811751690243031,4.057031506588585,LOI,Lasso,1,0.5839370250051243,random_search,
0.4958876514331694,6.402785046968972,4.603532218933106,LOI,Lasso,2,0.5974558889296536,random_search,
0.48928618088097986,6.11866119048967,4.773013697172466,LOI,Lasso,3,0.4951438688173108,random_search,
0.7187030870577844,5.197149154155768,3.9764107533611326,LOI,Lasso,4,0.5834279496021567,random_search,
0.580590164394637,5.397560085770021,4.010490706105712,LOI,Lasso,5,0.6200501970881741,random_search,
0.5969255597984224,5.99453873636064,3.2806575748818108,LOI,KNN,1,0.673182873107469,random_search,
0.65692299142799,5.282032406614996,3.1392166421704624,LOI,KNN,2,0.643195672146147,random_search,
0.7248135895627121,4.491393359729245,2.940307532657393,LOI,KNN,3,0.6051647869018877,random_search,
0.6546221064628537,5.758773083352006,3.3488352897204807,LOI,KNN,4,0.6262573674750203,random_search,
0.7557733633112452,4.118837845066933,2.774379918800317,LOI,KNN,5,0.5968089925531551,random_search,
0.5513802041730451,6.324152848686878,3.830991378702046,LOI,DecisionTree,1,0.6121515914064591,random_search,
0.6489565738973275,5.343006177836061,3.385372788030683,LOI,DecisionTree,2,0.5605847920148163,random_search,
0.6625943746824645,4.973289726303344,3.0021578947368424,LOI,DecisionTree,3,0.6005177629568323,random_search,
0.697933830345181,5.385595633114243,3.4457508188460575,LOI,DecisionTree,4,0.5344889611873566,random_search,
0.5642400358483854,5.5017625580257485,4.153725946321922,LOI,DecisionTree,5,0.5233426331393258,random_search,
0.7033670456685647,5.142482704909691,3.066296550652236,LOI,LightGBM,1,0.6453887608735036,random_search,
0.6950040423620801,4.980263205792039,3.147046068887864,LOI,LightGBM,2,0.6238101991918976,random_search,
