task,model,status,error_message,n_samples,n_features,target_column,task_type,elapsed_seconds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
LOI,MLP,success,,948,149,LOI,regression,152.36490488052368,0.45174166793670273,0.48809622540294834,6.286036676637375,2.524121197260987,3.8484363655661844,0.5655433409237453
LOI,SVR/SVM,success,,948,149,LOI,regression,6.358449697494507,0.7103589905695733,0.01814294333099206,4.864700745264844,0.45025292823004687,3.32858932142197,0.25052998599641335
LOI,Ridge,success,,948,149,LOI,regression,1.1182920932769775,0.5931222322819065,0.10255299684199205,5.704187104122503,0.6394545197444164,4.102117771653697,0.28869299061763054
LOI,Lasso,success,,948,149,LOI,regression,19.433741092681885,0.5811198353451158,0.0951687418866431,5.7855814335254925,0.49733801910820385,4.2840957764322,0.37488943856450524
LOI,KNN,success,,948,149,LOI,regression,2.467709541320801,0.6778115221126447,0.06285670536923012,5.129115086224765,0.8056302034559694,3.096679391646093,0.23852101322673666
LOI,DecisionTree,success,,948,149,LOI,regression,2.002455949783325,0.6250210037892807,0.06406684677935125,5.505561388793255,0.498556794949362,3.5635997653275098,0.44176277233193456
LOI,LightGBM,success,,948,149,LOI,regression,20.269003868103027,0.7214265414159188,0.03450103213488153,4.748989002763008,0.2952574615261369,3.0494927360862465,0.0957176013451218
LOI,GradientBoosting,success,,948,149,LOI,regression,112.27705001831055,0.7434580602979848,0.055573105280784435,4.550508234997289,0.578054505976817,3.044244168490043,0.26058131182101824
LOI,RandomForest,success,,948,149,LOI,regression,162.0162537097931,0.751768331059038,0.04381294059277821,4.4903838947540855,0.5491163286882859,2.928951877174844,0.18331577299490764
LOI,ExtraTrees,success,,948,149,LOI,regression,109.75675320625305,0.786566452488632,0.038519113390334855,4.165458016242016,0.5397969060689322,2.594653782598233,0.17428588874822543
LOI,XGBoost,success,,948,149,LOI,regression,50.504971981048584,0.7784590908689676,0.025402116716600347,4.246586687520337,0.391154374862881,2.710359654936104,0.06825591426267692
