task,model,status,error_message,n_samples,n_features,target_column,task_type,elapsed_seconds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,Precision macro_mean,Precision macro_std,Recall macro_mean,Recall macro_std,F1 macro_mean,F1 macro_std,ROC-AUC_mean,ROC-AUC_std
LOI,MLP,success,,948,149,LOI,regression,152.36490488052368,0.4517416679367027,0.4880962254029483,6.286036676637375,2.524121197260987,3.848436365566184,0.5655433409237453,,,,,,,,,,,,
LOI,SVR/SVM,success,,948,149,LOI,regression,6.358449697494507,0.7103589905695733,0.018142943330992,4.864700745264844,0.4502529282300468,3.32858932142197,0.2505299859964133,,,,,,,,,,,,
LOI,Ridge,success,,948,149,LOI,regression,1.1182920932769775,0.5931222322819065,0.102552996841992,5.704187104122503,0.6394545197444164,4.102117771653697,0.2886929906176305,,,,,,,,,,,,
LOI,Lasso,success,,948,149,LOI,regression,19.433741092681885,0.5811198353451158,0.0951687418866431,5.7855814335254925,0.4973380191082038,4.2840957764322,0.3748894385645052,,,,,,,,,,,,
LOI,KNN,success,,948,149,LOI,regression,2.467709541320801,0.6778115221126447,0.0628567053692301,5.129115086224765,0.8056302034559694,3.096679391646093,0.2385210132267366,,,,,,,,,,,,
LOI,DecisionTree,success,,948,149,LOI,regression,2.002455949783325,0.6250210037892807,0.0640668467793512,5.505561388793255,0.498556794949362,3.5635997653275098,0.4417627723319345,,,,,,,,,,,,
LOI,LightGBM,success,,948,149,LOI,regression,20.269003868103027,0.7214265414159188,0.0345010321348815,4.748989002763008,0.2952574615261369,3.0494927360862465,0.0957176013451218,,,,,,,,,,,,
LOI,GradientBoosting,success,,948,149,LOI,regression,112.27705001831056,0.7434580602979848,0.0555731052807844,4.550508234997289,0.578054505976817,3.044244168490043,0.2605813118210182,,,,,,,,,,,,
LOI,RandomForest,success,,948,149,LOI,regression,162.0162537097931,0.751768331059038,0.0438129405927782,4.4903838947540855,0.5491163286882859,2.928951877174844,0.1833157729949076,,,,,,,,,,,,
LOI,ExtraTrees,success,,948,149,LOI,regression,109.75675320625304,0.786566452488632,0.0385191133903348,4.165458016242016,0.5397969060689322,2.594653782598233,0.1742858887482254,,,,,,,,,,,,
