smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
C,12.251179,1.8907355,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O,12.251101,1.7043996,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC,12.192191,2.4572136,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=CC=C1,12.2676115,0.7928072,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C=O,12.324427,1.3607973,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1,12.163694,1.152782,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO,12.292319,1.2800468,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC=O,12.207859,1.4833026,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC,12.154554,3.7810812,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
N,-1.0565041,5.440895,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN,-0.7222153,5.471641,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC,12.210758,0.15183203,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=CC=C1,-2.6735692,-0.10829057,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1,12.42046,1.0029805,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN,-0.6156685,5.4564214,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC,-0.7234724,5.640122,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC,-0.7930045,5.499634,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC1=CC=CC=C1,-1.4289986,5.5406213,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
P,19.482344,-3.8003826,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=P,19.369799,-3.65893,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC=O,-0.48291272,5.5970774,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC=O,-0.494901,6.0118246,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(C)=O,-0.5809289,5.898334,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(N)=O,-0.48375934,5.884185,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCO,12.404712,1.0273447,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=CC=C1,-2.8320432,0.10532314,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
