combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
0,0.01,0.001,30,0.8,205,0.6479624467919438
1,0.01,0.001,30,0.85,263,0.6484911165161338
2,0.01,0.001,30,0.9,345,0.6443436481372549
3,0.01,0.001,30,0.95,504,0.6903503764084172
4,0.01,0.001,30,0.98,702,0.6862306786184496
5,0.01,0.001,40,0.8,183,0.6470050685894128
6,0.01,0.001,40,0.85,240,0.66325087402899
7,0.01,0.001,40,0.9,311,0.6634014316499508
8,0.01,0.001,40,0.95,458,0.7037310529354064
9,0.01,0.001,40,0.98,647,0.6819823795637061
10,0.01,0.001,50,0.8,167,0.6509158008698211
11,0.01,0.001,50,0.85,219,0.6606281585125782
12,0.01,0.001,50,0.9,290,0.6692637605290406
13,0.01,0.001,50,0.95,410,0.6923129738395823
14,0.01,0.001,50,0.98,582,0.7069245813810574
15,0.01,0.001,60,0.8,137,0.6570384247377136
16,0.01,0.001,60,0.85,183,0.6570814447197716
17,0.01,0.001,60,0.9,244,0.6733667775300438
18,0.01,0.001,60,0.95,342,0.6840817286363781
19,0.01,0.001,60,0.98,497,0.6961496632260568
20,0.01,0.001,70,0.8,109,0.6484672477232883
21,0.01,0.001,70,0.85,146,0.6573907757588608
22,0.01,0.001,70,0.9,191,0.6539529142649638
23,0.01,0.001,70,0.95,263,0.6821620987083851
24,0.01,0.001,70,0.98,397,0.6837476178521124
25,0.01,0.005,30,0.8,187,0.6394392673897066
26,0.01,0.005,30,0.85,246,0.6615469040929334
27,0.01,0.005,30,0.9,323,0.6619732143329137
28,0.01,0.005,30,0.95,468,0.6962232497150556
29,0.01,0.005,30,0.98,661,0.6805532104942664
30,0.01,0.005,40,0.8,173,0.6552856772323173
31,0.01,0.005,40,0.85,228,0.6700123491774557
32,0.01,0.005,40,0.9,301,0.6543113618732914
33,0.01,0.005,40,0.95,442,0.7010644189928744
34,0.01,0.005,40,0.98,622,0.6885998481224552
35,0.01,0.005,50,0.8,159,0.6597835853212402
36,0.01,0.005,50,0.85,212,0.65909230209129
37,0.01,0.005,50,0.9,283,0.6617354353890328
38,0.01,0.005,50,0.95,406,0.690813363647931
39,0.01,0.005,50,0.98,580,0.698333814915312
