feature_name,prevalence,variance,correlation,is_whitelist,importance_score
C,1.0,313.27298,0.6752498980473502,False,0.6752498980473502
O,0.9980694980694981,3.2343566,0.25627490552219534,False,0.25578016632234557
CC,0.9922779922779923,22.467703,0.3592545267867904,False,0.35648036055677657
C1=CC=CC=C1,0.972972972972973,6.5457234,0.6750973762438345,False,0.6568515012102174
C=O,0.9478764478764479,2.0201714,0.4064888526330912,False,0.38530120973522736
CC1=CC=CC=C1,0.9015444015444015,7.4027085,0.5226925251692635,False,0.47123051979545566
CO,0.832046332046332,5.3269963,0.06359436928656599,False,0.052913461703687145
CC=O,0.915057915057915,2.5939732,0.42510110431870557,False,0.38899213020669193
CCC,0.6447876447876448,28.873917,0.2628920067775035,False,0.16950951788356405
N,0.6776061776061776,5.2735257,0.6910002246084186,False,0.46822602092192067
CN,0.6023166023166023,10.470489,0.6188844392823311,False,0.3727643726951492
COC,0.749034749034749,1.2449445,0.05919065354353266,False,0.04433585632218276
OC1=CC=CC=C1,0.5193050193050193,3.33237,0.39967013311406024,False,0.20755070619243668
O=CC1=CC=CC=C1,0.722007722007722,2.293648,0.2235042749802769,False,0.1613718124374972
CCN,0.5328185328185329,3.881867,0.48182780570339634,False,0.25672678450605674
CNC,0.5366795366795367,4.3634934,0.5478716696590489,False,0.29403151383246257
CCNC,0.528957528957529,9.88519,0.4674163421506345,False,0.24724339333836653
NC1=CC=CC=C1,0.5038610038610039,1.8362758,0.6052151921428837,False,0.3049443342650437
P,0.31467181467181465,0.12695618,0.1915549627441092,False,0.06027694773608069
O=P,0.2857142857142857,0.105203636,0.08304625737824659,False,0.023727502108070453
CC(N)=O,0.4980694980694981,2.3084164,0.5292447370632716,False,0.2636006605450272
CCO,0.5752895752895753,3.8101373,0.492876930022755,False,0.2835469597428204
COC1=CC=CC=C1,0.35714285714285715,2.9943788,0.4018066625912422,False,0.14350237949687222
CNC1=CC=CC=C1,0.4343629343629344,1.513431,0.4925971897519879,False,0.21396596079960867
CCC1=CC=CC=C1,0.33976833976833976,9.124882,0.35801489441007334,False,0.12164212628604808
CCOC,0.5328185328185329,2.7153575,0.39530910770071415,False,0.2106280187748979
CCNC1=CC=CC=C1,0.42277992277992277,0.86004347,0.4324648026009851,False,0.182837435848679
CC1=CC=C(O)C=C1,0.2915057915057915,1.3885922,0.3117642349806284,False,0.09088108008122564
COC=O,0.5115830115830116,0.2732738,0.578487667511779,False,0.2959444631093078
NCC1=CC=CC=C1,0.3474903474903475,1.3800393,0.39755377765522165,False,0.13814610034351332
OP,0.19111969111969113,0.13804927,0.06983908793802864,False,0.013347624914796978
CCC=O,0.42084942084942084,3.132712,0.33544321426017554,False,0.14117108244926307
CP,0.2644787644787645,0.7973818,0.26220761008382276,False,0.06934834475189908
CC(C)C,0.2915057915057915,3.7424257,0.3069350514285375,False,0.08947334510754663
COC(C)=O,0.4826254826254826,0.27193645,0.5753235771278582,False,0.27766581907715165
CCCC,0.305019305019305,24.294432,0.20451408528742693,False,0.06238074416102984
CNC(=O)C1=CC=CC=C1,0.33783783783783783,3.7062435,0.33357615009719094,False,0.11269464530310504
CCNCC,0.37258687258687256,1.9484149,0.3518489302145219,False,0.1310942925316655
CP=O,0.23552123552123552,0.5826244,0.14436247885936546,False,0.03400042938386599
C1=CC=C(CC2=CC=CC=C2)C=C1,0.22007722007722008,0.43602812,0.2804267339750613,False,0.06171553604856561
CCNC=O,0.333976833976834,3.2571375,0.3966814676263628,False,0.1324824206551366
CCOCC,0.49613899613899615,0.711891,0.3817260032379271,False,0.18938915604661635
CC1=CC(C)=CC=C1,0.3745173745173745,0.38758737,0.3054402287614658,False,0.11439267254773043
C1=CC=C(CNC2=CC=CC=C2)C=C1,0.28378378378378377,0.54032475,0.25003681455050975,False,0.07095639331838789
CCOC=O,0.4768339768339768,0.26198235,0.5977589726842397,False,0.28503178813321856
CC1=CC=C(C)C=C1,0.5386100386100386,0.4665966,0.0962772319056029,False,0.05185588359394443
CCOC(C)=O,0.46525096525096526,0.25637102,0.5831803548199095,False,0.2713252229953633
OCC1=CC=CC=C1,0.444015444015444,0.27976906,0.4889776052957616,False,0.21711360852900613
CN(C)C,0.28378378378378377,0.23366918,0.3968446069908032,False,0.11261806414603874
CCCN,0.27606177606177607,2.6582475,0.3035557110819619,False,0.08380012873498176
CCN(C)C,0.28185328185328185,1.6488135,0.3786233262174418,False,0.10671622708059171
CCCCC,0.22007722007722008,21.742456,0.1875024159273032,False,0.04126501045504356
CCC1=CC=C(O)C=C1,0.18532818532818532,4.6963296,0.2024964443640151,False,0.03752829856939276
