smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
C,2.2261932,9.095952,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O,2.214988,9.08773,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC,2.30715,8.788695,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=CC=C1,3.0160363,8.9514675,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C=O,2.2748992,9.216168,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1,2.719546,9.241418,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO,2.1714458,9.358794,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC=O,2.4507048,9.23545,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC,2.6239586,8.1617985,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
N,5.352913,11.138104,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN,5.4864597,11.302722,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC,3.1874526,9.593787,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=CC=C1,3.8006973,5.538029,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1,2.5370364,9.365015,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN,5.8226166,11.16924,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC,5.5746865,11.105019,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC,5.795218,11.235343,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC1=CC=CC=C1,5.158429,11.012816,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
P,-9.849952,9.377611,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=P,-9.881388,9.471415,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC=O,5.731473,11.301734,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC=O,6.184747,11.201159,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(C)=O,5.900065,11.176027,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(N)=O,6.0856595,11.265145,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCO,2.1484427,9.580062,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=CC=C1,3.9696734,5.2123103,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC1=CC=CC=C1,4.8136244,10.75913,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=CC=C1,2.511829,5.46508,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC,2.5264752,9.634073,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC1=CC=CC=C1,4.843305,10.732171,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
