combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
0,0.01,0.001,30,0.8,167,0.8274325512250467
1,0.01,0.001,30,0.85,211,0.8295205347014578
2,0.01,0.001,30,0.9,264,0.832353713309313
3,0.01,0.001,30,0.95,374,0.8432149915794233
4,0.01,0.001,30,0.98,512,0.8539588659532136
5,0.01,0.001,40,0.8,140,0.823631961012197
6,0.01,0.001,40,0.85,176,0.8378791348226857
7,0.01,0.001,40,0.9,228,0.8402091277460467
8,0.01,0.001,40,0.95,320,0.8392265832911798
9,0.01,0.001,40,0.98,442,0.8542901098445554
10,0.01,0.001,50,0.8,120,0.8331757772459303
11,0.01,0.001,50,0.85,154,0.8272413676977337
12,0.01,0.001,50,0.9,194,0.8304716499351766
13,0.01,0.001,50,0.95,271,0.8313262833207162
14,0.01,0.001,50,0.98,372,0.8520370841801016
15,0.01,0.001,60,0.8,96,0.8256054207159315
16,0.01,0.001,60,0.85,118,0.8234541826337759
17,0.01,0.001,60,0.9,150,0.8424940836781889
18,0.01,0.001,60,0.95,214,0.8497530305393373
19,0.01,0.001,60,0.98,299,0.8521386673384093
20,0.01,0.001,70,0.8,68,0.8263902543993314
21,0.01,0.001,70,0.85,80,0.8179817304129399
22,0.01,0.001,70,0.9,108,0.8459191384605063
23,0.01,0.001,70,0.95,147,0.8402893867227139
24,0.01,0.001,70,0.98,208,0.8558300588829297
25,0.01,0.005,30,0.8,148,0.8226339871136694
26,0.01,0.005,30,0.85,187,0.8271191822986502
27,0.01,0.005,30,0.9,241,0.8310290785058513
28,0.01,0.005,30,0.95,338,0.8399524103268572
29,0.01,0.005,30,0.98,474,0.8531211323533494
30,0.01,0.005,40,0.8,137,0.8259967731838307
31,0.01,0.005,40,0.85,174,0.8312134209960336
32,0.01,0.005,40,0.9,218,0.8167886909702368
33,0.01,0.005,40,0.95,306,0.8416723335851364
34,0.01,0.005,40,0.98,424,0.8565542342564134
35,0.01,0.005,50,0.8,109,0.8301451585938013
36,0.01,0.005,50,0.85,143,0.8344240983972584
37,0.01,0.005,50,0.9,180,0.8422115869761237
38,0.01,0.005,50,0.95,254,0.8319175830333844
