DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,Tg,source_record_id,source_row_index,base_mass,base_moles,composition_mode,review_reason,exclusion_reason,mutual_exclusivity_check,co_n_components,co_source_fields,copolymer_amount_basis,co_component_molecular_weights,copolymer_component_molecular_weights,co_component_moles,copolymer_component_moles,co_mole_fractions,copolymer_mole_fractions,co_component_masses,co_conversions,copolymer_conversions,co_zero_components_ignored,blend_source_fields,blend_amount_basis,blend_component_masses,blend_weight_fractions,blend_component_moles,blend_mole_fractions,blend_component_molecular_weights,blend_conversions,blend_zero_components_ignored,composition_rule_version,molecular_weight_method,rdkit_version,co_content_labels,mix_content_labels,composition_valid
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100.0,,,,0.0,,,,,145.1564317,31ffd0604200e18eaeef37cf95b505152694578e0af07101f56253ab4ee7ae7c,0,91783.23682040001,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[917.8323682040001],[917.8323682040001],[100.0],[100.0],[1.0],[1.0],[91783.23682040001],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[91783.23682040001],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100.0,,,,0.0,,,,,236.0,90ad0d57ab892122eb4eb9494141008f52ea4355b9a851ace8b1f915b378f2e4,1,91783.23682040001,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[917.8323682040001],[917.8323682040001],[100.0],[100.0],[1.0],[1.0],[91783.23682040001],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[91783.23682040001],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100.0,,,,0.0,,,,,145.2250993,2987c74cb9b18e98f0707f230234366da8aa8a10a9d371b79914993e00373c23,2,93184.8018268,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[931.848018268],[931.848018268],[100.0],[100.0],[1.0],[1.0],[93184.8018268],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[93184.8018268],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100.0,,,,0.0,,,,,212.0,197f53b465a20ce82b3f2c2ab16763117ae760c4c5bb23a862685a8cf59cf0bf,3,93184.8018268,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[931.848018268],[931.848018268],[100.0],[100.0],[1.0],[1.0],[93184.8018268],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[93184.8018268],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1cccc(c1)NC(=O)c1cc(cc(c1)C(=O)*)NC(=O)C(N1C(=O)c2c(C1=O)c(Br)c(c(c2Br)Br)Br)Cc1ccccc1,,,,100.0,,,,0.0,,,,,145.293767,8425f893e677da51776d948348ed2953c83eeebe63ac7217cdaabff7d8f897b8,4,84180.10680760001,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[841.8010680760001],[841.8010680760001],[100.0],[100.0],[1.0],[1.0],[84180.10680760001],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[84180.10680760001],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1002/pi.6137,homopolymer,,,,[H]Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)NC(P1(=O)Oc2ccccc2c2c1cccc2)c1ccc(cc1)C(P1(=O)Oc2ccccc2c2c1cccc2)Nc1ccc(cc1)C(=O)[H])(C)C,,,,100.0,,,,0.0,,,,,205.0,b264040c2ab6325ab94983aa0f3f852887b4c173a82e63d856e136179a30365b,5,118037.29880760002,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[1180.3729880760002],[1180.3729880760002],[100.0],[100.0],[1.0],[1.0],[118037.29880760002],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[118037.29880760002],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1cccc(c1)NC(=O)c1cc(cc(c1)C(=O)*)NC(=O)C(N1C(=O)c2c(C1=O)c(Br)c(c(c2Br)Br)Br)Cc1ccccc1,,,,100.0,,,,0.0,,,,,225.0,3966e5506b76108f7ca2d3a13fb8651f0d10d6bd76c0896fd5ce5376e65a4f47,6,84180.10680760001,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[841.8010680760001],[841.8010680760001],[100.0],[100.0],[1.0],[1.0],[84180.10680760001],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[84180.10680760001],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1cccc2c1cccc2NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100.0,,,,0.0,,,,,145.3624347,f03f6ae40aa3825613977d3f0d79e9d9551c62b287c93f0ca0cad5312f3257c1,7,89181.671814,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[891.81671814],[891.81671814],[100.0],[100.0],[1.0],[1.0],[89181.671814],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[89181.671814],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1295/polymj.PJ2008246,homopolymer,,,,*Nc1cccc2c1cccc2NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)Cc2ccccc2)cc(c1)C(=O)*,,,,100.0,,,,0.0,,,,,197.0,837e1ba9e231769e0351b989d167939c10eb650b5412d8b8a4c6f6f97a6f77da,8,89181.671814,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[891.81671814],[891.81671814],[100.0],[100.0],[1.0],[1.0],[89181.671814],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[89181.671814],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1007/BF00395568,homopolymer,,,,[H]Oc1ccc(C(C)(C)c2ccc(OP(Nc3ccccc3)([H])=O)cc2)cc1,,,,100.0,,,,0.0,,,,,145.4997701,67e0c989b59fd6529e7ac69156b4d8c4ea32e257f33200272062443ec872bb56,9,36713.3730194,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[367.133730194],[367.133730194],[100.0],[100.0],[1.0],[1.0],[36713.3730194],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[36713.3730194],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
