smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
C,6.4173436,4.7358913,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O,6.231057,4.5780983,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC,6.0663157,4.743916,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=CC=C1,6.3662376,3.1078603,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C=O,6.313103,4.20815,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1,6.4065776,3.8298197,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO,6.1592007,4.500049,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC=O,6.041855,4.012555,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC,5.7970424,5.3311696,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
N,5.7649465,6.0097947,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN,6.052161,6.251037,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC,18.512098,1.349178,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=CC=C1,4.021177,7.7592807,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1,6.40767,3.8215082,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN,5.832313,6.2650695,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC,-3.153082,4.507436,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC,-2.6814318,4.277555,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC1=CC=CC=C1,23.229607,10.09669,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
P,4.0674973,2.0162423,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=P,4.2924857,1.8833948,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC=O,-3.705722,4.41208,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC=O,-3.557855,4.252909,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(C)=O,-3.4238412,4.364761,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(N)=O,-3.5491261,4.5031147,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCO,6.3388047,4.44594,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=CC=C1,4.4667997,8.096584,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC1=CC=CC=C1,-7.086737,-12.697222,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=CC=C1,4.699799,6.572807,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC,6.340627,4.1932178,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNC1=CC=CC=C1,-7.2219696,-12.811801,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CO,18.477127,1.1993781,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(O)C=C1,3.675655,7.006171,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CNC1=CC=CC=C1,-7.0136256,-12.614918,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)NC1=CC=CC=C1,-7.2716823,-12.515768,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC=O,18.674885,1.1916767,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC=C1,-0.60487455,14.697651,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC=C1,-0.6557982,14.649613,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)O,18.65818,1.4374319,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OP,4.127332,2.1695812,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC=O,4.9952316,4.888364,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CP,15.378289,13.125515,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=PO,4.1335015,2.1876404,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C,3.7013018,6.151665,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC(C)=O,18.468405,1.2468557,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCC,6.1707177,5.7521358,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC=C1,-0.8596495,14.811225,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC=CC=C1,-0.95055753,14.979614,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COP,-12.436591,-1.2665408,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COP=O,-12.285312,-1.3895576,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCNCC,-3.445047,4.5438876,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CP=O,15.183432,13.117384,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
