combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
0,0.01,0.001,30,0.8,83,0.8435193576708487
1,0.01,0.001,30,0.85,103,0.8420691254354413
2,0.01,0.001,30,0.9,132,0.8349238154578152
3,0.01,0.001,30,0.95,197,0.8370365912373616
4,0.01,0.001,30,0.98,272,0.8381380278399275
5,0.01,0.001,40,0.8,82,0.8441659704324677
6,0.01,0.001,40,0.85,102,0.8430003681780848
7,0.01,0.001,40,0.9,131,0.838573026707072
8,0.01,0.001,40,0.95,194,0.8363931646322467
9,0.01,0.001,40,0.98,264,0.8381396209181794
10,0.01,0.001,50,0.8,78,0.8411569996318219
11,0.01,0.001,50,0.85,96,0.8421867477130476
12,0.01,0.001,50,0.9,121,0.8400607847857486
13,0.01,0.001,50,0.95,179,0.836946493811776
14,0.01,0.001,50,0.98,240,0.8352430506386475
15,0.01,0.001,60,0.8,74,0.8486671245291568
16,0.01,0.001,60,0.85,88,0.848219469540344
17,0.01,0.001,60,0.9,117,0.8399076722648617
18,0.01,0.001,60,0.95,167,0.8455588518508028
19,0.01,0.001,60,0.98,217,0.8355340529326801
20,0.01,0.001,70,0.8,70,0.8458637493273669
21,0.01,0.001,70,0.85,85,0.8432920785068962
22,0.01,0.001,70,0.9,104,0.8394467416239486
23,0.01,0.001,70,0.95,145,0.8455404429465574
24,0.01,0.001,70,0.98,191,0.8404066597751282
25,0.01,0.005,30,0.8,68,0.8294981449488799
26,0.01,0.005,30,0.85,85,0.8329177759211532
27,0.01,0.005,30,0.9,105,0.8317899650230821
28,0.01,0.005,30,0.95,168,0.8375755827126227
29,0.01,0.005,30,0.98,233,0.8355906957149737
30,0.01,0.005,40,0.8,68,0.8320168016652978
31,0.01,0.005,40,0.85,83,0.8398166897958028
32,0.01,0.005,40,0.9,103,0.8321339814211675
33,0.01,0.005,40,0.95,159,0.8354180237333256
34,0.01,0.005,40,0.98,220,0.8319139596136964
35,0.01,0.005,50,0.8,65,0.826800886459543
36,0.01,0.005,50,0.85,77,0.8220276699991503
37,0.01,0.005,50,0.9,93,0.837817907615622
38,0.01,0.005,50,0.95,146,0.8372295307145488
39,0.01,0.005,50,0.98,201,0.835743365714124
40,0.01,0.005,60,0.8,57,0.8263408408621032
41,0.01,0.005,60,0.85,67,0.8168951258885835
42,0.01,0.005,60,0.9,83,0.8322440808292504
43,0.01,0.005,60,0.95,134,0.8285764606757484
44,0.01,0.005,60,0.98,180,0.8346048457900253
45,0.01,0.005,70,0.8,53,0.8202097022005722
46,0.01,0.005,70,0.85,62,0.8266091860432185
47,0.01,0.005,70,0.9,77,0.8285880547452491
48,0.01,0.005,70,0.95,117,0.8397568608570054
49,0.01,0.005,70,0.98,149,0.8394594862499645
50,0.01,0.01,30,0.8,59,0.8215319571497351
51,0.01,0.01,30,0.85,74,0.8313071738083775
52,0.01,0.01,30,0.9,95,0.8269826743889659
53,0.01,0.01,30,0.95,147,0.8380060678580531
54,0.01,0.01,30,0.98,206,0.8351190560480332
55,0.01,0.01,40,0.8,54,0.8249431802090118
56,0.01,0.01,40,0.85,70,0.8372279376362967
57,0.01,0.01,40,0.9,89,0.8293666274887423
58,0.01,0.01,40,0.95,143,0.8359422349825824
59,0.01,0.01,40,0.98,192,0.837061637967657
60,0.01,0.01,50,0.8,51,0.8273653671868362
61,0.01,0.01,50,0.85,65,0.8328654698518791
62,0.01,0.01,50,0.9,85,0.8326379251748847
63,0.01,0.01,50,0.95,135,0.8395220588235294
64,0.01,0.01,50,0.98,179,0.836373605171486
65,0.01,0.01,60,0.8,44,0.825781139369566
66,0.01,0.01,60,0.85,55,0.8343336684697953
67,0.01,0.01,60,0.9,74,0.834249235322439
68,0.01,0.01,60,0.95,122,0.8340155838454784
69,0.01,0.01,60,0.98,158,0.8338274236030474
